open,high,low,close,volume,timestamp
6409.00000000,6476.87000000,6404.31000000,6446.83000000,1429.20740600,1537941599999
6446.84000000,6457.17000000,6426.80000000,6444.82000000,883.46412200,1537945199999
6440.75000000,6475.00000000,6415.00000000,6455.83000000,1359.63228000,1537948799999
6455.88000000,6465.83000000,6429.00000000,6449.23000000,1314.93540500,1537952399999
6450.51000000,6466.80000000,6434.16000000,6464.18000000,855.87254200,1537955999999
6464.18000000,6480.00000000,6455.99000000,6471.67000000,1114.26372000,1537959599999
6471.62000000,6532.57000000,6460.00000000,6528.58000000,2005.16179300,1537963199999
6528.64000000,6535.00000000,6488.91000000,6494.24000000,1894.19940700,1537966799999
6494.23000000,6515.24000000,6455.22000000,6481.78000000,1712.45826200,1537970399999
6480.70000000,6545.00000000,6480.70000000,6520.21000000,1631.53217100,1537973999999
6521.31000000,6557.81000000,6502.17000000,6544.51000000,1821.96291000,1537977599999
6542.55000000,6557.99000000,6516.00000000,6529.37000000,1702.13667600,1537981199999
6529.37000000,6547.00000000,6517.00000000,6536.44000000,1431.91645200,1537984799999
6536.44000000,6545.32000000,6516.00000000,6520.01000000,1462.17785300,1537988399999
6520.01000000,6520.02000000,6485.48000000,6492.11000000,1671.80258400,1537991999999
6490.43000000,6515.00000000,6486.45000000,6510.00000000,994.92482400,1537995599999
6509.99000000,6510.00000000,6455.23000000,6476.81000000,1776.82206600,1537999199999
6476.80000000,6478.86000000,6430.00000000,6469.87000000,1484.44815000,1538002799999
6465.71000000,6493.00000000,6457.38000000,6465.12000000,978.90726800,1538006399999
6467.84000000,6515.00000000,6465.00000000,6508.03000000,1193.41879900,1538009999999
6508.04000000,6530.00000000,6491.20000000,6495.01000000,1448.40578900,1538013599999
6497.78000000,6510.00000000,6480.90000000,6509.10000000,1194.81933000,1538017199999
6506.00000000,6517.49000000,6487.00000000,6508.47000000,853.49330300,1538020799999
6510.99000000,6518.40000000,6474.00000000,6482.51000000,710.09538600,1538024399999
6484.69000000,6499.25000000,6476.00000000,6476.28000000,592.54011000,1538027999999
6476.28000000,6486.76000000,6454.01000000,6482.90000000,608.24066200,1538031599999
6483.26000000,6487.81000000,6450.00000000,6461.17000000,823.70326100,1538035199999
6460.01000000,6467.00000000,6434.00000000,6465.00000000,1209.65320100,1538038799999
6465.00000000,6487.54000000,6453.82000000,6471.53000000,1480.65205500,1538042399999
